在籍日数,対象日,ID,入社日,会社,部署,パーソナリティタイプ,4特性,第一因子,新奇_スコア,外交_スコア,順応_スコア,安定_スコア,分析_スコア,指導_スコア,調和_スコア,ライスケール,新奇_強み判定,外交_強み判定,順応_強み判定,安定_強み判定,分析_強み判定,指導_強み判定,調和_強み判定,対象スコア,集まったNPS,NPS平均,HaKaSe NPS,レビュー数,良かった点の数,コメント数,コミュニケーション,主体的な行動,目標達成意識,人脈づくり,周囲へのサポート,自信,情報収集力,継続力,論理的思考,リーダーシップ,創造性,冷静な対応,顧客志向,進行管理,本質を理解する力,コメント
94,2022/07/04,1000264,2022/04/01,株式会社セプテーニ・ホールディングス,広報部,チームの名サポーター,協調型,調和,19,17,24,17,11,6,27,8,0,0,1,0,0,0,1,8.89861,[10 10  9  9  8],9.2,8.89861,5,22,4,100%,40%,20%,80%,40%,20%,0%,20%,0%,0%,0%,40%,0%,40%,40%,"・社会人にとって必要な基本的な動作、時間を守る、周囲に感謝の気持ちを持ち謙虚な姿勢でいる、誤りがあれば謝罪し改善する、初めてのことにも積極的に挑戦する、ができているのが本当に素晴らしいです！これからも人との関わりを楽しみながら、企業価値向上に貢献していきましょう！
・毎日の日報を見ていても、MTG１回参加するごとにしっかりと知識を吸収し、自分事化しているところがすごいと思います！また、グループ会社の同期や他部署の先輩とも積極的にコミュニケーションをとっていて、今後事務局周りの仕事にも活きてくる人脈づくりだと思いました！
・コミュニケーション力が高く、周りへの配慮・サポートが素晴らしいと感じています。飲み込みも早いと思っており、引き続き、素直なところを大切にしながらまわりの方々との関係性を広めていただけると、さらに良さが発揮できるのかなと思いました。
・直接的に業務を行った訳ではないですが、普段のコミュニケーション等を見ていると、落ち着きもありつつ 積極的に活動している様子が伝わってきてとても良いなと思いました！"
277,2022/07/05,4600968,2021/10/01,Septeni Japan株式会社,ﾃﾞｰﾀ事業本部ﾃﾞｰﾀｲﾝﾃｸﾞﾚｰｼｮﾝ部一課,チームワークの達人,冒険型,調和,16,21,24,9,21,9,25,4,0,0,1,0,0,0,1,8.60366,[ 9 10  9 10  7],9,8.60366,5,31,2,60%,80%,40%,0%,40%,40%,40%,0%,40%,60%,20%,60%,20%,80%,40%,"・前職での経験、知識を活かして、組織に貢献してくれてます。発信力・行動力はSEP内でかなり高いと思うので、引き続き、継続してもらえるとありがたいです。
・CRMの拡販に加えてのSFA導入お疲れさまでした！倉崎さんの強みが存分に発揮できた機会だったと思います。これからはCDPもよろしくね笑"
459,2022/07/04,4600942,2021/04/01,Septeni Japan株式会社,ﾏｰｹﾃｨﾝｸﾞ戦略本部第一ｺﾐｭﾆｹｰｼｮﾝﾌﾟﾗﾝﾆﾝｸﾞ部二課,チームワークの達人,冒険型,順応,20,18,22,13,20,13,21,4,0,0,1,0,0,0,1,8.48505,[10  9  8  5  9 10  8 10 10 10 10 10  8  9 10  7],8.938,8.48505,16,144,11,81%,88%,50%,38%,69%,69%,69%,44%,81%,31%,31%,94%,31%,50%,75%,"・与えられた業務だけでなく、いろんなことに興味を持ってインプットする姿勢は僕も見習わないといけないなと思ってます。加えてリサーチ業務に関しては自身の前のめりな姿勢はたぶんヨコタイが思っている以上に周りは本当に助かってるので引き続き一緒に頑張りましょう！
・スーパー新人とはこの子のこと。 簡単だけど実はみんなあまりできない周囲へのサポートや進行管理は先輩陣も見習うべき。 また、情報を整理する力が素晴らしく、論理的に物事を進めてくれるため非常に働きやすい。 主体性は十分あるが、更なるコミットに期待。
・いつもリサーチで助けられてますが、2年目とは思えない活躍っぷりで感謝です。  リサーチはマーケティングの主軸となると思いますので引き続き牽引してもらいつつ、 戦略面などクライアントビジネス拡大に向けた部分も一緒にやっていきましょう！
・スポットでの関わりでしたが、社内外へのコミュニケーションと自分で考えるスタンス、実行力がずば抜けてると思います。 ぜひまた一緒に仕事したいです！楽しみにしています。
・プロジェクトで一緒に動いた回数はそこまで多くないのですが、 1つ1つの動き方に見習うべき点がありました。 特に自分で考え、自分で解釈して動く力が凄いなと感じます。
・さすが、そういえば2年目だったのかレベルで調査のサポートは大変助かりました。特に何も言うことはないのでそのまま突き進んでほしいなと思います！
・基本的にアンケート作るのところは理解したと思うので、これからは業務拡張に取り組んで、よりバリューが発揮されていることを期待してるよ！！
・一度、定性調査でご一緒しました。 ルーキー賞を取るに恥じない積極性を随所に感じるので、今後も引き続き頑張っていただきたいなと思います。
・まだ2年目なことが信じられないくらい安心感、安定感のある仕事ぶりです。資料もプレゼンもわかりやすく、本当に頼りになります。
・目下の業務だけではなく組織の課題にも関心を向け２年目とは思えない視座の高さを感じます。
・コンペ時の連携非常に助かってます！2年目とは思えないこれからもよろしくお願いします！"
277,2022/07/05,4600969,2021/10/01,Septeni Japan株式会社,ﾊﾟﾌｫｰﾏﾝｽｸﾞﾛｰｽ本部ｾﾝﾄﾗﾙﾒﾃﾞｨｱｸﾞﾛｰｽ室ｱﾌｨﾘｴｲﾄ課,チームの名サポーター,協調型,調和,17,22,23,17,14,13,30,9,0,0,1,0,0,0,1,8.46876,[ 9  9  7 10  9],8.8,8.46876,5,31,2,100%,67%,50%,33%,33%,50%,50%,0%,0%,17%,17%,17%,33%,33%,17%,"・前職の知見や繋がりを最大限発揮し、入社から約1年で新規既存共に成果を上げてしてくれており、まさに即戦力と言える。代理店というポジションでの立ち回りや考え方などは今後に期待したい部分で、アウトプット力は更に成長を求めていきたい。
・自分の強みを活かして即戦力として活躍してくれています。そして何より「野心」を感じます！"
459,2022/07/04,4600912,2021/04/01,Septeni Japan株式会社,ｱﾄﾞﾏﾈｼﾞﾒﾝﾄ本部第二ﾊﾟﾌｫｰﾏﾝｽﾏﾈｼﾞﾒﾝﾄ部三課,タスク調整の達人,計画型,順応,12,25,28,20,25,17,23,7,0,1,1,0,1,0,0,8.45934,[10  8  8 10 10  8 10  9  8  8  8  8  8  8 10  9 10],8.824,8.45934,17,116,11,72%,94%,56%,33%,33%,61%,39%,28%,39%,11%,11%,33%,17%,56%,56%,"・とにかく素直で言ったことを自分で噛み砕いて、アクションして”成長実感”してくれるので文句なしです！ 「さすがノミネートだ～」 より高い視座、広い視野、多様な視点で業務や案件、組織を見れるともう一皮剥けるかも？ 第一線で活躍しながら、もっと進化してく舞香を見るのが楽しみです！
・引き続きガツガツやっていこう！ いま部署にない価値をどう作れるか、数字も知見もですがまずは足元自分の案件からいろいろ取り組んでみてください！より影響範囲を広げれるようにいろんな人の話を聞きながらよいものをインプットして業務に取り組めるとまた違った成長が見えてくると思います。
・2年目とは思えないしっかりとした受け答えに安心感がある。数字に対する課題感から、次何を試したいかを明確に教えてくれる。他の案件の知見も積極的に共有してくれる。改善意欲が高い印象を受ける。
・ややこしい条件の多い案件ですが、まいかちゃんのおかがでしっかり数字も伸ばせているし、日々のコミュニケーションでもストレスなく仕事できています、本当にありがとう！ 引き続きよろしく！！
・コンサルとしても、社会人としてのスキルが高く、今後も一緒に仕事をしたい一人です。 SBCチームのエースコンサルとして今後も予算拡大のけん引、期待してます！
・積極的に施策の提案から実行、検証まで一貫して責任を持って取り組んでおり担当がまいかちゃんで良かったと日々感じています。
・SBCではいつもありがとう！舞香ちゃんの積極的な施策出し、コミュニケーション助かっておりますので引き続きお願いします。
・常に前向きで、冷静で、いい意味で年次に見合わないくらいの素晴らしい動き方だなと感じました。 見習います！
・主体性もありコミュニケーションも丁寧で○。 より視座の高いアウトプット/アクションに期待。
・後輩のサポートもしっかりできていていろんなところに気が使えるようになった風に見えてます！
・半年前とは見違える活躍ぶりに脱帽です。次はコンサル賞行っちゃってください！"
95,2022/07/05,4601004,2022/04/01,Septeni Japan株式会社,ﾊﾟﾌｫｰﾏﾝｽｸﾞﾛｰｽ本部第一部三課,フィクサータイプ,冒険型,新奇,23,16,21,13,16,8,18,8,1,0,1,0,0,0,0,8.38492,[9 8 8 9 9],8.6,8.38492,5,40,4,83%,67%,50%,50%,33%,50%,17%,50%,33%,17%,33%,33%,67%,33%,50%,"・いち早く戦力にならないと行けないと強く思っており、その気持に行動もしっかり伴ってるのがすばらしい。 社内の環境にもいち早く馴染んてくれているし、ここからの爆発が大きく期待できます！
・すごい中途が入ってきたなと毎日思わされる行動力とコミュニケーションスキル。 周りにいる人たちも刺激になっていると思います。引き続き頑張って。
・一緒に仕事をしていて、やりやすく各所へのホスピタリティもあり、いつも助かっています。
・クライアント前でおも冷静にレビューできていていいね！ 活躍期待してるよ！"
94,2022/07/04,4601016,2022/04/01,Septeni Japan株式会社,ｱﾄﾞﾏﾈｼﾞﾒﾝﾄ本部ｸｵﾘﾃｨﾏﾈｼﾞﾒﾝﾄ部ｵﾝﾗｲﾝｾｰﾙｽ課,チームの名サポーター,協調型,調和,19,17,24,18,12,4,25,14,0,0,1,0,0,0,1,8.35878,[ 7 10  7 10 10  9  9],8.857,8.35878,7,41,5,67%,56%,0%,44%,22%,11%,33%,22%,33%,0%,0%,44%,22%,44%,44%,"・業務理解力・進行管理力がとても高く、優秀だなあと思っています！コミュニケーションの一つ一つにも細やかな気配りが感じられて、一緒に仕事するとうれしい気持ちになれます！おきょんちゃんのためなら皆喜んで力を貸してくれると思います。お客さん、社内から愛される営業さんになってください～！
・インプット量が多すぎた3ヶ月だったけど、1つ1つをおきょんなりの言葉で整理してくれているおかげで、3ヶ月後こうなっててほしいなぁという目標を遥かに超えてくれていて、頼もしい限りだなと思っています！ 引き続きおきょんの活躍を期待してます！一緒に頑張ろう！
・入社してわずか3か月とは思えないくらい、早くも顧客対応や定例スピーキングなどを行ってくれていて 非常に頼もしいです！ きっと1年後には素敵な先輩になれていると思うので、是非引き続きこの調子で頑張って欲しいです。
・ロープレ等でしか現状実務では関わる機会が無いですが、それでも周りの人から言われた事を噛み砕き、自分の言葉で理解する能力が非常に高いので、この調子でどんどん成長していってくれることを期待しています。
・情報の吸収能力やまいやんをサポートする主体的な行動など、 入社3ヶ月で素晴らしい動きができていると思います！ 引き続きワールド・オーネット・＋α案件を自走できるよう日々頑張って欲しいです！！"
94,2022/07/04,4601022,2022/04/01,Septeni Japan株式会社,ﾊﾟﾌｫｰﾏﾝｽｸﾞﾛｰｽ本部第三部三課,仲間想いのリーダー,冒険型,調和,24,27,28,12,19,12,30,3,0,1,1,0,0,0,1,8.3577,[ 8  8  9 10  8  9],8.667,8.3577,6,19,4,57%,71%,43%,14%,0%,0%,14%,14%,0%,0%,0%,14%,0%,14%,14%,"・周囲の先輩に対しての感謝を持ち、素直にアドバイスを聞く姿勢をもってくれており、 今後スキルを伸ばす上で必須の姿勢だと思います。  先輩社員のアドバイスのトライ⇒自身の考えの反映と、ステップを踏んで焦らず成長していってほしい。
・学ぶ姿勢として非常に大事な「素直さ」をとても感じます。 先輩から教わったことをすぐに実践しつつ、しっかりとしたコミュニケーションを取れていると思います。 今後はもっと自分に自信をつけて、第一線での活躍を期待してます！
・運用経験がない中で大変だと思いますが、営業として日々奮闘していて刺激をもらってます。いよいよ本格的に案件を引き継いでいくことになると思いますが、一緒に頑張っていけたらと思うのでよろしくお願いします！
・仕事できるようになって楽しくなるのはここからだから頑張れ～！！"
57,2022/07/05,4601094,2022/05/09,Septeni Japan株式会社,ｱﾄﾞﾏﾈｼﾞﾒﾝﾄ本部ｸｵﾘﾃｨﾏﾈｼﾞﾒﾝﾄ部ｵﾝﾗｲﾝｾｰﾙｽ課,世話好きなオールマイティ,協調型,調和,20,13,21,17,21,3,27,12,0,0,0,0,0,0,1,8.34243,[ 7  8 10 10  9],8.8,8.34243,5,29,5,86%,43%,14%,43%,29%,14%,14%,43%,0%,0%,0%,0%,57%,29%,43%,"・日報見てても理解力が高すぎて返す言葉がないというか、一回言っただけで吸収するの早すぎというか、 さすがとしか言いようがないです。 今自信がなくなっている時期かと思いますが、周りからみたらものすごく速いスピードで、かつ着実に前に進んでいると思いますよ！
・まずは早くも課にフィットしていることが素晴らしく ここはほんちゃんのコミュニケーション能力があるからこそ！ 今はインプットが多く大変な時期ですが、今後活躍できる素養は持ち合わせていると思うので、引き続き頑張っていきましょう。
・周囲へわからないことを聞きながら物事を前に進める力は、さすがCNだなと思います！ 分からないなりに進めたことが認められて自信につながってくれば、 更に4Q活躍できると思うのでこの調子でまずはGANMA攻略してきましょ！
・ほんちゃん2ヶ月間お疲れ様でした！（2ヶ月しか経ってないんですね！？ｗ） 自分の案件に愚直に向き合っている姿はさすがだなぁと思います。 1歩1歩確実に成長しているので、自信をもって引き続き一緒に頑張りましょう！
・実務ではあまり関わる機会が無いのですが、日報の振り返り等拝見していると、主体的に考え、行動する姿勢が伝わってくるため、素晴らしいと感じています。素晴らしい営業マンになれると思うので、期待しています。"
94,2022/07/04,4601062,2022/04/01,Septeni Japan株式会社,ﾊﾟﾌｫｰﾏﾝｽｸﾞﾛｰｽ本部第四部一課,カリスマリーダー,冒険型,外交,21,22,17,12,10,5,19,2,1,1,0,0,0,0,1,8.28079,[ 6  9 10 10 10  8],8.833,8.28079,6,28,6,88%,75%,12%,25%,25%,12%,0%,25%,0%,12%,0%,12%,38%,12%,0%,"・【Good】 目的意識を持ち、日々の日報を週報に変えて対応することや トレーナーの案件のサポート介入度の積極性。自身のキャパを顧みた判断力が良いと思っています。 【期待】 今は基礎を学びつつ応用力をつけて欲しいので 「こうできないか？」を増やしていってほしいです
・〇良かった点 具体的な目標を持った際に必ず達成しようと行動をする姿勢。 また、中途半端で終わらず達成するまでやり遂げ、よりくなるよう自分なりに考えて工夫している。 オンラインオフライン問わず案件や課のメンバーとコミュニケーションを図る積極性。
・プロジェクトの進行、盛り上げ方がとても上手くて、コンサルとしても案件楽しいな、頑張ろう！って思えます！ 引き続き各案件で一緒に伸ばしていきましょう！
・顧客への報告や日々のコミュニケーションもスムーズで安定感がある。
・いつも丁寧なコミュニケーションがとても素敵だなと思ってます！
・必要な時に連携をとってくれて助かっています！"
